#AssemblyAccession	AssemblyName	Organism	AssemblyStatus	BioprojectAccession	BioSample	ContigN50	ScaffoldN50	FtpPath
GCF_025961155.1	ASM2596115v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058248	7582079	7582079	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/155/GCF_025961155.1_ASM2596115v1
GCF_025961135.1	ASM2596113v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058278	9421774	9421774	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/135/GCF_025961135.1_ASM2596113v1
GCF_025961095.1	ASM2596109v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058320	9651281	9651281	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/095/GCF_025961095.1_ASM2596109v1
GCF_025961075.1	ASM2596107v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058321	9384871	9384871	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/075/GCF_025961075.1_ASM2596107v1
GCF_025961055.1	ASM2596105v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058230	9421216	9421216	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/055/GCF_025961055.1_ASM2596105v1
GCF_025961015.1	ASM2596101v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058275	9465574	9465574	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/015/GCF_025961015.1_ASM2596101v1
GCF_025961025.1	ASM2596102v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058309	9365395	9365395	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/961/025/GCF_025961025.1_ASM2596102v1
GCF_025960955.1	ASM2596095v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058266	9540326	9540326	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/960/955/GCF_025960955.1_ASM2596095v1
GCF_025200925.1	ASM2520092v1	Bradyrhizobium sp. CB1015 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN30617553	8412734	8412734	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/200/925/GCF_025200925.1_ASM2520092v1
GCF_025200905.1	ASM2520090v1	Bradyrhizobium sp. CB1024 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN30617554	7840305	7840305	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/200/905/GCF_025200905.1_ASM2520090v1
GCF_025200885.1	ASM2520088v1	Bradyrhizobium sp. CB3035 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN30617555	9614050	9614050	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/200/885/GCF_025200885.1_ASM2520088v1
GCF_025200865.1	ASM2520086v1	Bradyrhizobium sp. NC92 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN30617558	8355732	8355732	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/200/865/GCF_025200865.1_ASM2520086v1
GCF_024810215.1	ASM2481021v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058245	9583891	9583891	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/810/215/GCF_024810215.1_ASM2481021v1
GCF_024809875.1	ASM2480987v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058300	9225047	9225047	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/875/GCF_024809875.1_ASM2480987v1
GCF_024809655.1	ASM2480965v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058312	9522902	9522902	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/655/GCF_024809655.1_ASM2480965v1
GCF_024809475.1	ASM2480947v1	Bradyrhizobium centrosematis (a-proteobacteria)	Scaffold	PRJNA224116	SAMN13165533	1627063	2067585	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/475/GCF_024809475.1_ASM2480947v1
GCF_024809455.1	ASM2480945v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058334	9582890	9582890	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/455/GCF_024809455.1_ASM2480945v1
GCF_024809395.1	ASM2480939v1	Bradyrhizobium centrosematis (a-proteobacteria)	Scaffold	PRJNA224116	SAMN13165441	1544534	2067830	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/395/GCF_024809395.1_ASM2480939v1
GCF_024809375.1	ASM2480937v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058283	9228179	9228179	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/375/GCF_024809375.1_ASM2480937v1
GCF_024809355.1	ASM2480935v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058327	9208764	9208764	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/355/GCF_024809355.1_ASM2480935v1
GCF_024809305.1	ASM2480930v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058333	9686149	9686149	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/305/GCF_024809305.1_ASM2480930v1
GCF_024809275.1	ASM2480927v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058301	9603408	9603408	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/275/GCF_024809275.1_ASM2480927v1
GCF_024809255.1	ASM2480925v1	Bradyrhizobium elkanii USDA 61 (a-proteobacteria)	Contig	PRJNA224116	SAMN28058308	9520259	9520259	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/809/255/GCF_024809255.1_ASM2480925v1
GCF_024808955.1	ASM2480895v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058297	9399579	9399579	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/955/GCF_024808955.1_ASM2480895v1
GCF_024808915.1	ASM2480891v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058279	9473378	9473378	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/915/GCF_024808915.1_ASM2480891v1
GCF_024808895.1	ASM2480889v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058249	9115481	9115481	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/895/GCF_024808895.1_ASM2480889v1
GCF_024808795.1	ASM2480879v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058250	9224889	9224889	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/795/GCF_024808795.1_ASM2480879v1
GCF_024808735.1	ASM2480873v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058251	9207921	9207921	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/735/GCF_024808735.1_ASM2480873v1
GCF_024808695.1	ASM2480869v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058335	9410477	9410477	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/695/GCF_024808695.1_ASM2480869v1
GCF_024808515.1	ASM2480851v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058252	9120490	9120490	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/515/GCF_024808515.1_ASM2480851v1
GCF_024808485.1	ASM2480848v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058299	9685572	9685572	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/485/GCF_024808485.1_ASM2480848v1
GCF_024808475.1	ASM2480847v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058285	9501589	9501589	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/475/GCF_024808475.1_ASM2480847v1
GCF_024808455.1	ASM2480845v1	Bradyrhizobium japonicum USDA 38 (a-proteobacteria)	Contig	PRJNA224116	SAMN28058336	9740125	9740125	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/455/GCF_024808455.1_ASM2480845v1
GCF_024808435.1	ASM2480843v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058232	9616623	9616623	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/435/GCF_024808435.1_ASM2480843v1
GCF_024808375.1	ASM2480837v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058244	9114546	9114546	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/808/375/GCF_024808375.1_ASM2480837v1
GCF_024807975.1	ASM2480797v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058234	9112834	9112834	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/975/GCF_024807975.1_ASM2480797v1
GCF_024807895.1	ASM2480789v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058298	9423387	9423387	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/895/GCF_024807895.1_ASM2480789v1
GCF_024807815.1	ASM2480781v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058323	9514364	9514364	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/815/GCF_024807815.1_ASM2480781v1
GCF_024807795.1	ASM2480779v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058259	9529098	9529098	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/795/GCF_024807795.1_ASM2480779v1
GCF_024807775.1	ASM2480777v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058281	9230352	9230352	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/775/GCF_024807775.1_ASM2480777v1
GCF_024807735.1	ASM2480773v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058280	9684322	9684322	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/735/GCF_024807735.1_ASM2480773v1
GCF_024807725.1	ASM2480772v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058292	9226167	9226167	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/725/GCF_024807725.1_ASM2480772v1
GCF_024807635.1	ASM2480763v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058263	9411595	9411595	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/635/GCF_024807635.1_ASM2480763v1
GCF_024807285.1	ASM2480728v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058247	9740168	9740168	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/285/GCF_024807285.1_ASM2480728v1
GCF_024807115.1	ASM2480711v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN28058284	3054120	3054120	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/807/115/GCF_024807115.1_ASM2480711v1
GCF_024806875.1	ASM2480687v1	Bradyrhizobium betae (a-proteobacteria)	Contig	PRJNA224116	SAMN12025190	565778	565778	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/806/875/GCF_024806875.1_ASM2480687v1
GCF_024806645.1	ASM2480664v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN28058337	9345569	9345569	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/806/645/GCF_024806645.1_ASM2480664v1
GCF_024758505.1	ASM2475850v1	Bradyrhizobium arachidis (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN19945678	9429272	9429272	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/758/505/GCF_024758505.1_ASM2475850v1
GCF_024758445.1	ASM2475844v1	Bradyrhizobium arachidis (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN19944273	8003242	8003242	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/758/445/GCF_024758445.1_ASM2475844v1
GCF_024586915.1	ASM2458691v1	Bradyrhizobium sp. SRS-191 (a-proteobacteria)	Contig	PRJNA224116	SAMN29512481	349972	349972	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/586/915/GCF_024586915.1_ASM2458691v1
GCF_024585265.1	ASM2458526v1	Bradyrhizobium sp. WBAH42 (a-proteobacteria)	Chromosome	PRJNA224116	SAMN08940586	8285880	8285980	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/585/265/GCF_024585265.1_ASM2458526v1
GCF_024585165.1	ASM2458516v1	Bradyrhizobium sp. WBOS07 (a-proteobacteria)	Chromosome	PRJNA224116	SAMN08944407	6727433	6727533	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/585/165/GCF_024585165.1_ASM2458516v1
GCF_024585145.1	ASM2458514v1	Bradyrhizobium betae (a-proteobacteria)	Chromosome	PRJNA224116	SAMN08944413	6724303	6724403	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/585/145/GCF_024585145.1_ASM2458514v1
GCF_024585125.1	ASM2458512v1	Bradyrhizobium sp. WBOS08 (a-proteobacteria)	Chromosome	PRJNA224116	SAMN08944410	6625960	6626060	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/585/125/GCF_024585125.1_ASM2458512v1
GCF_024585105.1	ASM2458510v1	Bradyrhizobium sp. WBOS04 (a-proteobacteria)	Chromosome	PRJNA224116	SAMN08944214	6626825	6626925	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/585/105/GCF_024585105.1_ASM2458510v1
GCF_024585085.1	ASM2458508v1	Bradyrhizobium sp. WBOS02 (a-proteobacteria)	Chromosome	PRJNA224116	SAMN08943419	6723231	6723331	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/585/085/GCF_024585085.1_ASM2458508v1
GCF_024519875.1	ASM2451987v1	Bradyrhizobium sp. Bra64 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN26547292	374004	385083	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/519/875/GCF_024519875.1_ASM2451987v1
GCF_024519855.1	ASM2451985v1	Bradyrhizobium sp. Bra78 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN26547293	302716	410461	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/519/855/GCF_024519855.1_ASM2451985v1
GCF_024199945.1	ASM2419994v1	Bradyrhizobium sp. CCGUVB4N (a-proteobacteria)	Contig	PRJNA224116	SAMN28667585	9212720	9212720	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/199/945/GCF_024199945.1_ASM2419994v1
GCF_024199935.1	ASM2419993v1	Bradyrhizobium sp. CCGUVB14 (a-proteobacteria)	Contig	PRJNA224116	SAMN28667582	9769664	9769664	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/199/935/GCF_024199935.1_ASM2419993v1
